Block Number,Trial Number,Eye,Position,Detection
1,1,Right,"(229, -47)",1
1,2,Right,"(637, -267)",1
1,3,Right,"(58, -71)",1
1,4,Right,"(551, 341)",1
1,5,Right,"(542, 185)",1
1,6,Right,"(435, 310)",1
1,7,Right,"(562, -353)",1
1,8,Right,"(488, 171)",1
1,9,Right,"(166, 27)",1
1,10,Right,"(553, 276)",1
1,11,Right,"(226, 29)",1
1,12,Right,"(572, -280)",1
1,13,Right,"(122, 333)",1
1,14,Right,"(446, 149)",1
1,15,Right,"(72, 25)",1
1,16,Right,"(107, -23)",1
1,17,Right,"(705, 120)",1
1,18,Right,"(182, -3)",1
1,19,Right,"(591, 120)",1
1,20,Right,"(463, 80)",0
1,21,Right,"(208, 309)",1
1,22,Right,"(617, -103)",1
1,23,Right,"(419, -307)",1
1,24,Right,"(55, -291)",1
1,25,Right,"(136, -56)",1
1,26,Right,"(233, 92)",1
1,27,Right,"(414, 180)",1
1,28,Right,"(741, -246)",1
1,29,Right,"(481, 102)",0
1,30,Right,"(131, 98)",1
1,31,Right,"(138, 315)",1
1,32,Right,"(486, -189)",1
1,33,Right,"(231, 9)",1
1,34,Right,"(88, 318)",1
1,35,Right,"(50, 44)",1
1,36,Right,"(357, -190)",1
1,37,Right,"(417, -151)",1
1,38,Right,"(598, -22)",1
1,39,Right,"(344, -113)",1
1,40,Right,"(375, 160)",1
1,41,Right,"(566, 219)",1
1,42,Right,"(737, -217)",1
1,43,Right,"(739, -183)",1
1,44,Right,"(668, -75)",1
1,45,Right,"(169, -16)",1
1,46,Right,"(431, 358)",1
1,47,Right,"(445, -59)",0
1,48,Right,"(319, -185)",1
1,49,Right,"(515, 219)",1
1,50,Right,"(593, -28)",1
1,51,Right,"(765, 96)",1
1,52,Right,"(260, -118)",1
1,53,Right,"(285, 15)",1
1,54,Right,"(391, -153)",1
1,55,Right,"(127, 3)",1
1,56,Right,"(767, 350)",1
1,57,Right,"(26, -324)",1
1,58,Right,"(53, -272)",1
1,59,Right,"(24, 176)",1
1,60,Right,"(138, -142)",1
1,61,Right,"(607, 335)",1
1,62,Right,"(181, -250)",1
1,63,Right,"(534, -173)",1
1,64,Right,"(616, -99)",1
1,65,Right,"(669, -14)",1
1,66,Right,"(517, 283)",1
1,67,Right,"(247, 49)",1
1,68,Right,"(617, 34)",1
1,69,Right,"(678, -132)",1
1,70,Right,"(486, 108)",1
1,71,Right,"(429, 332)",1
1,72,Right,"(25, 308)",1
1,73,Right,"(79, -191)",1
1,74,Right,"(762, -124)",1
1,75,Right,"(667, -343)",1
1,76,Right,"(261, 51)",1
1,77,Right,"(529, -130)",1
1,78,Right,"(516, 102)",1
1,79,Right,"(533, 50)",1
1,80,Right,"(729, 204)",1
1,81,Right,"(629, -141)",1
1,82,Right,"(622, -338)",1
1,83,Right,"(225, -34)",1
1,84,Right,"(649, 207)",1
1,85,Right,"(46, -356)",1
1,86,Right,"(214, 86)",1
1,87,Right,"(687, -182)",1
1,88,Right,"(345, 252)",1
1,89,Right,"(103, 144)",1
1,90,Right,"(346, 171)",1
1,91,Right,"(399, 246)",1
1,92,Right,"(468, 141)",1
1,93,Right,"(380, -334)",1
1,94,Right,"(3, -336)",1
1,95,Right,"(80, 330)",1
1,96,Right,"(347, 178)",1
1,97,Right,"(542, 64)",1
1,98,Right,"(150, -47)",1
1,99,Right,"(356, -276)",1
1,100,Right,"(575, -305)",1
1,101,Right,"(395, -90)",0
1,102,Right,"(71, -353)",1
1,103,Right,"(66, -215)",1
1,104,Right,"(603, 162)",1
1,105,Right,"(598, -49)",1
1,106,Right,"(716, -296)",1
1,107,Right,"(278, -80)",1
1,108,Right,"(556, 346)",1
1,109,Right,"(467, -203)",1
1,110,Right,"(161, 87)",1
1,111,Right,"(381, 340)",1
1,112,Right,"(254, -177)",1
1,113,Right,"(472, 306)",1
1,114,Right,"(479, 320)",1
1,115,Right,"(768, 45)",1
1,116,Right,"(516, 35)",1
1,117,Right,"(98, -36)",1
1,118,Right,"(653, -163)",1
1,119,Right,"(367, -302)",1
1,120,Right,"(237, 108)",1
1,121,Right,"(353, 115)",1
1,122,Right,"(366, -60)",1
1,123,Right,"(353, -196)",1
1,124,Right,"(153, 234)",1
